date,open,close,high,low,volume,volume.1,振幅,涨跌幅,涨跌额,换手率,etf_code,status
2024-08-27,0.794,0.788,0.795,0.785,3842057,302842781.0,1.26,-0.88,-0.007,1.23,,
2024-08-28,0.787,0.789,0.792,0.785,4086716,322335335.0,0.89,0.13,0.001,1.31,,
2024-08-29,0.787,0.794,0.8,0.786,6607233,525427148.0,1.77,0.63,0.005,2.12,,
2024-08-30,0.792,0.814,0.821,0.791,13317699,1081251524.0,3.78,2.52,0.02,4.27,,
2024-09-02,0.809,0.793,0.811,0.792,8778586,702102692.0,2.33,-2.58,-0.021,2.81,,
2024-09-03,0.792,0.799,0.803,0.791,5669597,452257947.0,1.51,0.76,0.006,1.82,,
2024-09-04,0.794,0.798,0.805,0.794,5102135,408106140.0,1.38,-0.13,-0.001,1.63,,
2024-09-05,0.798,0.806,0.806,0.797,6344000,508951601.0,1.13,1.0,0.008,2.03,,
2024-09-06,0.822,0.809,0.826,0.808,14683547,1199549688.0,2.23,0.37,0.003,4.71,,
2024-09-09,0.801,0.808,0.817,0.8,8555898,692680194.0,2.1,-0.12,-0.001,2.74,,
2024-09-10,0.809,0.805,0.81,0.795,7438413,596609778.0,1.86,-0.37,-0.003,2.38,,
2024-09-11,0.804,0.804,0.809,0.801,5228438,420623145.0,0.99,-0.12,-0.001,1.68,,
2024-09-12,0.805,0.803,0.809,0.801,5812565,467954924.0,1.0,-0.12,-0.001,1.86,,
2024-09-13,0.804,0.805,0.813,0.803,6486858,523822283.0,1.25,0.25,0.002,2.08,,
2024-09-18,0.803,0.806,0.808,0.797,6393771,513007965.0,1.37,0.12,0.001,2.05,,
2024-09-19,0.809,0.816,0.825,0.804,10994866,896773102.0,2.61,1.24,0.01,3.52,,
2024-09-20,0.813,0.816,0.816,0.809,5959422,484399827.0,0.86,0.0,0.0,1.91,,
2024-09-23,0.816,0.816,0.82,0.812,6420359,523852272.0,0.98,0.0,0.0,2.06,,
2024-09-24,0.825,0.866,0.867,0.818,31283288,2642177599.0,6.0,6.13,0.05,10.02,,
2024-09-25,0.884,0.882,0.905,0.878,30836145,2746062952.0,3.12,1.85,0.016,9.88,,
2024-09-26,0.875,0.938,0.94,0.874,34030010,3089546335.0,7.48,6.35,0.056,10.9,,
2024-09-27,0.966,1.006,1.008,0.948,25479279,2477682110.0,6.4,7.25,0.068,8.16,,
2024-09-30,1.1,1.107,1.107,1.076,45575218,5015074842.0,3.08,10.04,0.101,14.6,,
2024-10-08,1.218,1.218,1.218,1.218,14960786,1822223770.0,0.0,10.03,0.111,4.79,,
2024-10-09,1.217,1.179,1.297,1.14,92285398,11375262032.0,12.89,-3.2,-0.039,29.57,,
2024-10-10,1.2,1.113,1.2,1.098,53591036,6074938829.0,8.65,-5.6,-0.066,17.17,,
2024-10-11,1.095,1.116,1.145,1.093,36244264,4036513622.0,4.67,0.27,0.003,11.61,,
2024-10-14,1.127,1.124,1.135,1.063,37136247,4087779888.0,6.45,0.72,0.008,11.9,,
2024-10-15,1.103,1.087,1.126,1.086,19973214,2214938402.0,3.56,-3.29,-0.037,6.4,,
2024-10-16,1.067,1.094,1.122,1.065,19964286,2184560509.0,5.24,0.64,0.007,6.4,,
2024-10-17,1.097,1.088,1.123,1.086,14882137,1643842345.0,3.38,-0.55,-0.006,4.77,,
2024-10-18,1.083,1.169,1.197,1.076,36910424,4203983466.0,11.12,7.44,0.081,11.83,,
2024-10-21,1.145,1.137,1.153,1.127,25092019,2860041779.0,2.22,-2.74,-0.032,8.04,,
2024-10-22,1.134,1.146,1.156,1.131,17728487,2024813412.0,2.2,0.79,0.009,5.68,,
2024-10-23,1.148,1.14,1.172,1.134,21753771,2509842451.0,3.32,-0.52,-0.006,6.97,,
2024-10-24,1.132,1.138,1.145,1.125,15784805,1793811567.0,1.75,-0.18,-0.002,5.06,,
2024-10-25,1.14,1.147,1.164,1.134,17700976,2032447279.0,2.64,0.79,0.009,5.67,,
2024-10-28,1.146,1.149,1.155,1.14,11837061,1357180903.0,1.31,0.17,0.002,3.79,,
2024-10-29,1.155,1.136,1.168,1.133,16467585,1890111021.0,3.05,-1.13,-0.013,5.28,,
2024-10-30,1.131,1.133,1.146,1.12,12783101,1448231854.0,2.29,-0.26,-0.003,4.1,,
2024-10-31,1.129,1.166,1.194,1.125,28069698,3279074205.0,6.09,2.91,0.033,8.99,,
2024-11-01,1.16,1.153,1.188,1.15,15991554,1866009495.0,3.26,-1.11,-0.013,5.12,,
2024-11-04,1.159,1.198,1.199,1.157,18778232,2213493905.0,3.64,3.9,0.045,6.02,,
2024-11-05,1.2,1.265,1.277,1.182,35424512,4399340435.0,7.93,5.59,0.067,11.35,,
2024-11-06,1.275,1.257,1.325,1.246,37738096,4832009649.0,6.25,-0.63,-0.008,12.09,,
2024-11-07,1.236,1.364,1.374,1.231,42390270,5552459819.0,11.38,8.51,0.107,13.58,,
2024-11-08,1.393,1.32,1.397,1.314,33928389,4575118388.0,6.09,-3.23,-0.044,10.87,,
2024-11-11,1.3,1.321,1.331,1.288,23494420,3082586305.0,3.26,0.08,0.001,7.53,,
2024-11-12,1.323,1.289,1.332,1.272,21870013,2848769138.0,4.54,-2.42,-0.032,7.01,,
2024-11-13,1.277,1.286,1.3,1.262,17071185,2185299785.0,2.95,-0.23,-0.003,5.47,,
2024-11-14,1.282,1.265,1.301,1.264,16157488,2076010388.0,2.88,-1.63,-0.021,5.18,,
2024-11-15,1.266,1.215,1.276,1.214,18340615,2279364689.0,4.9,-3.95,-0.05,5.88,,
2024-11-18,1.215,1.199,1.23,1.189,17289347,2085945570.0,3.37,-1.32,-0.016,5.54,,
2024-11-19,1.205,1.225,1.227,1.189,16738327,2021163728.0,3.17,2.17,0.026,5.36,,
2024-11-20,1.216,1.225,1.236,1.207,15726149,1921106504.0,2.37,0.0,0.0,5.04,,
2024-11-21,1.223,1.237,1.248,1.217,18125043,2233968111.0,2.53,0.98,0.012,5.81,,
2024-11-22,1.233,1.178,1.237,1.176,17214456,2081482924.0,4.93,-4.77,-0.059,5.52,,
2024-11-25,1.177,1.167,1.182,1.148,14167747,1649092706.0,2.89,-0.93,-0.011,4.54,,
2024-11-26,1.164,1.167,1.191,1.163,10161418,1195319644.0,2.4,0.0,0.0,3.26,,
2024-11-27,1.165,1.196,1.197,1.16,15197083,1791791312.0,3.17,2.49,0.029,4.87,,
2024-11-28,1.196,1.184,1.2,1.181,11280014,1343246293.0,1.59,-1.0,-0.012,3.61,,
2024-11-29,1.183,1.216,1.253,1.179,25314942,3081136360.0,6.25,2.7,0.032,8.11,,
2024-12-02,1.208,1.23,1.237,1.2,14933752,1830947934.0,3.04,1.15,0.014,4.79,,
2024-12-03,1.228,1.229,1.24,1.213,14847658,1819071829.0,2.2,-0.08,-0.001,4.76,,
2024-12-04,1.223,1.214,1.237,1.208,10545194,1289236614.0,2.36,-1.22,-0.015,3.38,,
2024-12-05,1.212,1.228,1.238,1.211,12772571,1567565281.0,2.22,1.15,0.014,4.09,,
