日期,开盘,最高,最低,收盘,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,etf_code,status
2024-08-28,0.488,0.491,0.488,0.491,62.0,3026.0,0.61,0.0,0.0,0.03,,
2024-08-29,0.491,0.5,0.491,0.5,1132.0,55987.0,1.83,1.83,0.009,0.62,,
2024-08-30,0.502,0.515,0.5,0.51,1576.0,79728.0,3.0,2.0,0.01,0.87,,
2024-09-02,0.505,0.505,0.495,0.496,496.0,24781.0,1.96,-2.75,-0.014,0.27,,
2024-09-03,0.497,0.506,0.497,0.506,1287.0,64714.0,1.81,2.02,0.01,0.71,,
2024-09-04,0.499,0.505,0.499,0.502,1259.0,63372.0,1.19,-0.79,-0.004,0.69,,
2024-09-05,0.503,0.506,0.501,0.506,182.0,9135.0,1.0,0.8,0.004,0.1,,
2024-09-06,0.498,0.499,0.498,0.499,16.0,797.0,0.2,-1.38,-0.007,0.01,,
2024-09-09,0.494,0.494,0.491,0.492,607.0,29839.0,0.6,-1.4,-0.007,0.33,,
2024-09-10,0.49,0.49,0.485,0.49,503.0,24473.0,1.02,-0.41,-0.002,0.28,,
2024-09-11,0.496,0.496,0.494,0.494,35.0,1736.0,0.41,0.82,0.004,0.02,,
2024-09-12,0.501,0.501,0.497,0.497,807.0,40136.0,0.81,0.61,0.003,0.44,,
2024-09-13,0.496,0.496,0.486,0.486,1753.0,85691.0,2.01,-2.21,-0.011,0.97,,
2024-09-18,0.486,0.489,0.483,0.489,687.0,33188.0,1.23,0.62,0.003,0.38,,
2024-09-19,0.49,0.496,0.49,0.495,1680.0,82699.0,1.23,1.23,0.006,0.93,,
2024-09-20,0.488,0.488,0.483,0.488,558.0,27085.0,1.01,-1.41,-0.007,0.31,,
2024-09-23,0.488,0.497,0.487,0.487,816.0,39941.0,2.05,-0.2,-0.001,0.45,,
2024-09-24,0.48,0.508,0.48,0.508,5128.0,258958.0,5.75,4.31,0.021,2.83,,
2024-09-25,0.512,0.528,0.512,0.514,20230.0,1052702.0,3.15,1.18,0.006,11.15,,
2024-09-26,0.506,0.534,0.506,0.534,6479.0,340343.0,5.45,3.89,0.02,3.57,,
2024-09-27,0.526,0.565,0.526,0.563,3097.0,170428.0,7.3,5.43,0.029,1.71,,
2024-09-30,0.581,0.619,0.581,0.619,24028.0,1464020.0,6.75,9.95,0.056,13.24,,
2024-10-08,0.681,0.681,0.652,0.681,11058.0,741193.0,4.68,10.02,0.062,6.09,,
2024-10-09,0.687,0.687,0.622,0.662,10647.0,705662.0,9.54,-2.79,-0.019,5.87,,
2024-10-10,0.661,0.672,0.602,0.654,8164.0,522153.0,10.57,-1.21,-0.008,4.5,,
2024-10-11,0.643,0.643,0.6,0.621,21396.0,1302776.0,6.57,-5.05,-0.033,11.79,,
2024-10-14,0.621,0.636,0.598,0.621,19366.0,1180964.0,6.12,0.0,0.0,10.67,,
2024-10-15,0.615,0.615,0.565,0.612,5505.0,332918.0,8.05,-1.45,-0.009,3.03,,
2024-10-16,0.6,0.603,0.585,0.587,18889.0,1116919.0,2.94,-4.08,-0.025,10.41,,
2024-10-17,0.587,0.597,0.583,0.595,5250.0,308073.0,2.39,1.36,0.008,2.89,,
2024-10-18,0.577,0.63,0.577,0.626,18929.0,1137453.0,8.91,5.21,0.031,10.43,,
2024-10-21,0.63,0.634,0.607,0.63,24668.0,1543089.0,4.31,0.64,0.004,13.59,,
2024-10-22,0.63,0.643,0.611,0.641,7088.0,441951.0,5.08,1.75,0.011,3.91,,
2024-10-23,0.641,0.645,0.622,0.64,29796.0,1894133.0,3.59,-0.16,-0.001,16.42,,
2024-10-24,0.63,0.643,0.624,0.63,7913.0,499859.0,2.97,-1.56,-0.01,4.36,,
2024-10-25,0.631,0.658,0.622,0.657,11100.0,720333.0,5.71,4.29,0.027,6.12,,
2024-10-28,0.665,0.67,0.646,0.654,7514.0,490616.0,3.65,-0.46,-0.003,4.14,,
2024-10-29,0.654,0.668,0.644,0.647,5755.0,376352.0,3.67,-1.07,-0.007,3.17,,
2024-10-30,0.638,0.654,0.634,0.649,4595.0,295593.0,3.09,0.31,0.002,2.53,,
2024-10-31,0.653,0.665,0.626,0.649,3421.0,221377.0,6.01,0.0,0.0,1.89,,
2024-11-01,0.648,0.653,0.637,0.64,23465.0,1505098.0,2.47,-1.39,-0.009,12.93,,
2024-11-04,0.631,0.648,0.622,0.648,6639.0,424871.0,4.06,1.25,0.008,3.66,,
2024-11-05,0.647,0.668,0.632,0.666,6082.0,399471.0,5.56,2.78,0.018,3.35,,
2024-11-06,0.669,0.684,0.65,0.67,9205.0,618035.0,5.11,0.6,0.004,5.07,,
2024-11-07,0.672,0.676,0.644,0.676,8004.0,532359.0,4.78,0.9,0.006,4.41,,
2024-11-08,0.676,0.693,0.676,0.679,26543.0,1813012.0,2.51,0.44,0.003,14.63,,
2024-11-11,0.678,0.72,0.678,0.717,13572.0,943064.0,6.19,5.6,0.038,7.48,,
2024-11-12,0.719,0.719,0.696,0.715,16590.0,1176704.0,3.21,-0.28,-0.002,9.14,,
2024-11-13,0.716,0.716,0.684,0.699,15854.0,1098944.0,4.48,-2.24,-0.016,8.74,,
2024-11-14,0.699,0.7,0.677,0.678,6524.0,447839.0,3.29,-3.0,-0.021,3.6,,
2024-11-15,0.678,0.678,0.64,0.656,5123.0,340198.0,5.6,-3.24,-0.022,2.82,,
2024-11-18,0.652,0.665,0.645,0.649,4655.0,303890.0,3.05,-1.07,-0.007,2.57,,
2024-11-19,0.654,0.665,0.64,0.665,7530.0,490503.0,3.85,2.47,0.016,4.15,,
2024-11-20,0.67,0.676,0.653,0.671,11822.0,784502.0,3.46,0.9,0.006,6.51,,
2024-11-21,0.672,0.685,0.658,0.667,5226.0,349871.0,4.02,-0.6,-0.004,2.88,,
2024-11-22,0.666,0.674,0.627,0.654,6687.0,439200.0,7.05,-1.95,-0.013,3.69,,
2024-11-25,0.656,0.669,0.628,0.656,9413.0,607299.0,6.27,0.31,0.002,5.19,,
2024-11-26,0.654,0.662,0.635,0.64,8828.0,572285.0,4.12,-2.44,-0.016,4.86,,
2024-11-27,0.644,0.688,0.626,0.655,8495.0,542504.0,9.69,2.34,0.015,4.68,,
2024-11-28,0.654,0.661,0.643,0.658,9987.0,649087.0,2.75,0.46,0.003,5.5,,
2024-11-29,0.649,0.661,0.643,0.658,13046.0,851989.0,2.74,0.0,0.0,7.19,,
2024-12-02,0.66,0.663,0.645,0.659,14442.0,945549.0,2.74,0.15,0.001,7.96,,
2024-12-03,0.657,0.662,0.645,0.658,10370.0,676116.0,2.58,-0.15,-0.001,5.71,,
2024-12-04,0.655,0.655,0.638,0.644,16440.0,1059446.0,2.58,-2.13,-0.014,9.06,,
2024-12-05,0.644,0.644,0.636,0.638,6067.0,387168.0,1.24,-0.93,-0.006,3.34,,
2024-12-06,0.644,0.654,0.633,0.648,45622.0,2945483.0,3.29,1.57,0.01,25.14,,
2024-12-09,0.642,0.65,0.642,0.648,8075.0,521369.0,1.23,0.0,0.0,4.45,,
2024-12-10,0.655,0.675,0.645,0.647,12032.0,788829.0,4.63,-0.15,-0.001,6.63,,
2024-12-11,0.648,0.648,0.642,0.643,4126.0,266709.0,0.93,-0.62,-0.004,2.27,,
2024-12-12,0.64,0.65,0.64,0.65,3600.0,232788.0,1.56,1.09,0.007,1.98,,
2024-12-13,0.644,0.644,0.633,0.635,2738.0,174438.0,1.69,-2.31,-0.015,1.51,,
2024-12-16,0.635,0.635,0.62,0.623,4516.0,282720.0,2.36,-1.89,-0.012,2.49,,
