日期,开盘,最高,最低,收盘,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2021-12-03,0.977,0.986,0.977,0.982,1106080,108567860.0,0.91,-0.3,-0.003,299.36
2021-12-06,0.975,0.978,0.965,0.966,374243,36388260.0,1.32,-1.63,-0.016,101.29
2021-12-07,0.968,0.983,0.968,0.983,342427,33496026.0,1.55,1.76,0.017,92.68
2021-12-08,0.983,1.004,0.979,1.0,612013,60976318.0,2.54,1.73,0.017,165.64
2021-12-09,0.995,1.02,0.995,1.017,686833,69464537.0,2.5,1.7,0.017,185.89
2021-12-10,1.012,1.029,0.915,1.023,347847,35575215.0,11.21,0.59,0.006,94.15
2021-12-13,1.031,1.047,1.03,1.046,517019,53891352.0,1.66,2.25,0.023,139.93
2021-12-14,1.042,1.042,0.941,1.032,289616,29942651.0,9.66,-1.34,-0.014,78.39
2021-12-15,1.02,1.04,1.02,1.029,224447,23209996.0,1.94,-0.29,-0.003,60.75
2021-12-16,1.029,1.04,1.023,1.039,245618,25328405.0,1.65,0.97,0.01,66.48
2021-12-17,1.039,1.039,1.02,1.024,192803,19792774.0,1.83,-1.44,-0.015,52.18
2021-12-20,1.025,1.034,0.992,0.994,179884,18233485.0,4.1,-2.93,-0.03,48.69
2021-12-21,1.012,1.012,0.993,1.008,162066,16250274.0,1.91,1.41,0.014,43.86
2021-12-22,1.01,1.04,1.01,1.031,174175,17986811.0,2.98,2.28,0.023,47.14
2021-12-23,1.026,1.042,1.022,1.025,159355,16404286.0,1.94,-0.58,-0.006,43.13
2021-12-24,1.025,1.036,1.025,1.029,117293,12084643.0,1.07,0.39,0.004,31.75
2021-12-27,1.024,1.038,1.008,1.017,95120,9670006.0,2.92,-1.17,-0.012,25.74
2021-12-28,1.018,1.02,1.01,1.015,86242,8748606.0,0.98,-0.2,-0.002,23.34
2021-12-29,1.015,1.015,0.992,0.993,103804,10359859.0,2.27,-2.17,-0.022,28.09
2021-12-30,0.993,1.024,0.992,1.023,121024,12260660.0,3.22,3.02,0.03,32.76
2021-12-31,1.024,1.043,1.024,1.042,92953,9661799.0,1.86,1.86,0.019,25.16
2022-01-04,1.055,1.077,1.041,1.07,97690,10365423.0,3.45,2.69,0.028,26.44
2022-01-05,1.074,1.075,1.045,1.055,106631,11246849.0,2.8,-1.4,-0.015,28.86
2022-01-06,1.05,1.05,1.025,1.036,85968,8874780.0,2.37,-1.8,-0.019,23.27
2022-01-07,1.034,1.065,1.033,1.042,95940,10122011.0,3.09,0.58,0.006,25.97
